0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1017,10,16,24,36,54,82,125,189,287,434,658,998,1512,2292
1097,6,10,15,22,33,50,76,115,173,260,392,592,892,1345
1117,4,4,6,7,8,10,12,15,19,23,28,34,42,51
2020,4,4,5,6,7,9,10,12,15,17,21,25,29,35
4005,11,14,18,23,29,37,47,60,77,98,124,158,202,257
4013,18,22,27,33,40,48,58,70,85,103,125,152,184,223
4019,22,29,38,51,67,89,118,156,207,274,364,482,638,846
5023,4,4,4,5,6,6,7,7,8,9,10,11,12,14
5119,8,10,13,16,20,26,32,41,52,65,83,104,132,166
6001,19,24,30,37,46,58,72,89,111,138,172,214,266,331
6013,6,7,8,9,11,12,14,16,19,22,25,29,34,39
6029,2,3,3,4,5,6,7,8,10,11,13,16,19,23
6037,147,189,242,310,397,509,652,835,1070,1370,1756,2250,2882,3693
6039,2,3,3,4,4,5,6,7,8,9,11,13,15,17
6041,16,23,34,51,75,110,162,239,352,519,764,1126,1658,2442
6053,3,3,3,4,5,5,6,7,8,9,11,12,14,16
6055,3,5,8,13,20,32,51,81,128,203,323,512,813,1290
6059,24,33,44,60,82,111,152,206,280,381,519,705,959,1305
6061,2,2,3,3,3,3,3,3,3,3,4,4,4,4
6065,19,21,23,26,29,32,35,39,44,49,54,60,67,74
6067,13,15,16,18,20,23,25,28,31,35,39,44,49,54
6069,2,2,3,3,3,3,3,4,4,4,5,5,5,6
6071,14,18,23,29,36,45,56,71,89,111,140,175,220,275
6073,27,34,44,56,71,90,114,145,184,234,298,378,481,611
6075,15,19,25,31,40,50,64,81,102,130,165,209,265,336
6077,12,14,16,18,20,23,26,30,34,39,45,51,58,66
6081,20,25,30,36,44,53,65,78,95,115,139,169,205,248
6085,82,97,117,139,167,199,238,285,340,407,487,582,696,832
6089,2,3,3,3,4,5,5,6,7,8,9,11,12,14
6107,4,5,6,8,10,12,16,20,25,32,41,52,66,83
6111,11,14,17,21,27,34,42,53,66,83,103,129,162,203
8001,22,38,67,118,209,368,649,1143,2015,3552,6262,11037,19454,34290
8005,19,27,38,52,73,102,143,199,278,388,542,756,1055,1473
8013,3,4,4,5,6,7,9,10,12,15,17,21,25,29
8014,4,6,8,11,16,23,32,45,64,91,128,181,256,362
8015,3,3,3,4,5,5,6,7,9,10,12,14,16,19
8031,16,19,23,27,33,39,47,56,68,82,98,118,142,170
8037,7,8,10,12,14,17,20,24,29,34,41,49,58,70
8041,26,31,37,44,52,62,73,87,103,123,146,173,205,243
8059,15,18,21,25,31,37,44,53,64,77,93,111,134,161
8069,15,21,28,37,50,67,89,120,160,215,288,386,517,693
8101,3,4,5,6,7,8,10,11,13,16,19,23,27,32
8123,26,32,39,48,58,72,88,107,132,162,198,243,298,365
9001,101,129,163,207,263,333,423,537,682,865,1098,1394,1769,2245
9003,21,27,35,46,60,77,101,131,170,220,286,372,483,627
9005,6,9,14,22,34,53,82,128,199,311,484,755,1176,1833
9009,33,43,57,75,100,132,174,230,304,402,532,703,930,1230
9011,5,9,16,27,47,81,140,243,421,729,1263,2187,3788,6561
9013,13,15,17,20,24,28,33,39,46,54,63,74,87,103
10003,16,21,29,40,55,75,102,140,192,263,360,494,676,926
10005,5,6,8,10,12,15,19,23,29,37,46,57,72,90
11001,22,28,34,42,52,64,78,97,119,147,181,223,274,338
12011,33,40,50,62,76,94,116,144,178,220,271,335,414,512
12017,3,3,4,5,5,6,7,8,9,11,12,14,16,18
12019,10,11,13,15,18,21,24,28,32,37,43,50,58,67
12021,3,4,4,6,7,9,11,14,18,23,29,36,45,57
12031,10,12,14,16,19,22,26,30,35,41,47,55,64,74
12055,2,3,3,4,4,5,6,7,8,9,11,13,15,17
12057,7,8,10,12,15,18,22,27,33,40,49,60,73,89
12071,11,12,13,14,16,17,19,21,23,26,28,31,35,38
12081,4,4,5,5,6,6,7,8,9,10,11,13,14,16
12086,35,51,75,110,163,240,353,521,767,1130,1666,2454,3616,5328
12095,9,10,11,13,15,17,20,23,26,30,35,40,46,52
12097,9,16,28,49,84,147,256,446,776,1351,2353,4096,7132,12417
12099,45,59,77,101,133,175,229,301,396,520,683,897,1178,1547
12103,17,23,31,42,58,78,106,144,195,265,359,487,661,897
12105,5,7,12,18,28,44,68,106,165,257,401,624,973,1516
12109,4,4,5,5,6,7,8,9,10,11,12,14,16,18
12111,4,5,6,7,8,10,12,14,16,19,23,27,32,37
12113,2,2,3,3,3,3,3,3,3,4,4,4,4,4
12115,9,11,14,17,21,26,33,41,51,64,80,99,124,155
13013,3,3,4,4,5,5,6,7,8,9,10,12,13,15
13015,7,9,11,14,17,21,26,33,41,51,63,79,98,122
13045,3,5,6,8,11,14,18,24,32,42,56,74,97,128
13051,4,5,5,6,7,9,10,12,14,16,19,23,27,32
13057,9,12,17,24,33,46,64,90,125,174,242,337,470,655
13059,14,18,23,31,40,52,68,89,117,153,199,261,341,446
13063,10,13,18,23,31,41,54,71,94,124,163,215,284,374
13067,27,32,38,45,54,64,76,91,108,128,152,181,215,256
13071,5,7,12,18,28,44,68,106,165,257,401,624,973,1516
13077,4,4,4,5,5,6,7,7,8,9,10,11,12,13
13089,10,13,16,20,24,30,37,46,57,70,87,107,132,164
13095,44,52,61,72,86,101,119,141,166,196,231,273,322,380
13097,5,7,9,11,15,20,26,34,44,58,76,100,132,173
13113,6,7,7,8,9,10,12,13,15,17,19,21,24,27
13115,3,3,4,4,4,5,5,6,7,7,8,9,10,11
13121,43,53,67,83,103,129,161,201,250,312,389,484,604,753
13129,2,3,3,3,4,4,5,5,6,7,8,9,10,12
13135,10,13,17,21,27,35,44,56,71,91,115,147,187,238
13151,3,4,4,5,5,6,7,7,8,9,11,12,13,15
13153,8,11,15,19,25,33,43,56,73,95,125,163,213,279
13177,25,35,47,65,88,121,165,225,308,421,576,787,1076,1470
13247,3,4,5,6,7,8,10,11,13,16,19,23,27,32
13261,6,8,10,13,16,21,28,36,47,61,79,103,133,173
13299,4,5,7,9,12,15,20,26,34,45,59,77,101,132
15003,5,7,10,15,22,32,47,68,99,145,212,309,452,660
16001,7,9,11,14,19,24,31,40,52,67,86,111,144,185
16069,3,4,4,5,6,7,9,10,12,15,17,21,25,29
17031,222,298,399,535,717,961,1287,1725,2312,3099,4153,5566,7459,9996
17043,43,63,93,136,200,294,432,634,931,1367,2008,2949,4331,6360
17089,22,29,40,54,73,99,135,183,248,337,457,620,840,1140
17093,4,5,6,8,10,13,16,20,25,32,40,51,64,81
17097,15,24,40,67,111,183,304,504,835,1383,2293,3800,6299,10440
17111,4,5,6,7,8,10,11,13,16,18,22,25,30,35
17113,3,3,4,4,5,5,6,7,8,9,10,11,12,14
17163,4,4,6,7,9,11,14,18,23,29,36,45,57,72
17167,2,3,3,3,3,4,4,4,5,5,6,6,7,7
17197,14,17,21,25,30,37,45,54,66,80,97,118,143,174
18003,3,3,3,4,4,4,5,6,6,7,8,9,10,11
18031,8,15,28,51,94,171,313,572,1046,1911,3493,6383,11665,21319
18039,6,9,15,23,35,54,83,129,199,308,476,736,1137,1757
18041,4,5,6,8,10,12,16,20,25,32,41,52,66,83
18047,11,15,20,26,34,44,58,76,99,130,171,224,293,384
18059,3,3,4,4,5,6,6,7,9,10,11,13,15,17
18067,2,3,3,4,4,5,6,6,7,9,10,11,13,15
18081,6,7,8,9,10,11,12,14,16,18,20,22,25,28
18089,20,32,53,87,142,232,380,622,1017,1663,2720,4449,7276,11901
18093,10,25,64,161,406,1024,2580,6502,16384,41285,104032,262144,660561,1664511
18095,8,13,19,28,41,62,92,137,204,303,452,673,1002,1493
18097,38,47,58,71,88,108,133,164,202,248,306,377,464,571
18167,3,4,4,5,7,8,10,12,14,18,22,26,32,39
19113,6,9,12,16,22,29,40,54,72,98,133,179,243,328
19183,3,5,6,8,11,14,18,24,32,42,56,74,97,128
20091,6,8,9,11,14,17,20,24,29,36,43,52,63,76
20177,3,4,4,5,7,8,10,12,14,18,22,26,32,39
20209,5,6,7,7,8,9,10,11,12,14,15,17,18,20
21067,7,8,10,12,15,18,22,27,32,39,47,57,69,83
21107,3,3,4,5,6,7,8,10,11,13,16,19,23,27
21111,18,23,28,35,44,55,68,85,106,132,164,205,255,317
21117,3,3,4,5,6,7,9,11,13,16,20,24,29,35
22005,14,18,23,31,40,53,69,91,119,157,205,269,354,464
22015,3,5,7,10,13,19,27,38,54,76,108,152,215,304
22017,20,28,38,51,70,96,131,178,243,332,453,618,843,1150
22031,2,3,3,4,4,5,6,7,8,9,11,13,15,17
22033,22,28,35,43,54,68,85,107,134,168,211,264,331,414
22045,6,13,27,56,117,243,505,1051,2187,4549,9463,19683,40942,85163
22047,6,8,10,12,15,18,23,28,35,43,53,66,82,102
22051,168,227,307,415,561,759,1027,1389,1878,2541,3437,4649,6288,8506
22055,3,4,4,5,7,8,10,12,14,18,22,26,32,39
22071,315,402,513,654,834,1064,1356,1729,2205,2812,3586,4573,5831,7435
22075,4,5,6,6,7,8,9,11,12,14,16,18,21,24
22079,5,6,8,9,11,14,17,20,25,30,36,44,53,65
22087,8,10,12,15,19,24,31,39,49,62,78,98,124,156
22089,15,20,26,34,44,58,76,99,130,171,224,294,385,505
22093,7,8,9,11,12,14,17,19,22,26,30,35,41,48
22095,28,38,50,66,88,117,156,207,274,365,485,644,855,1136
22097,3,3,5,6,8,11,14,18,24,32,42,56,74,97
22103,14,18,23,30,39,50,65,84,109,142,184,239,310,402
22109,2,3,3,4,5,6,7,8,10,11,13,16,19,23
22117,3,3,3,4,4,4,5,6,6,7,8,9,10,11
22119,2,3,3,3,4,4,5,5,6,7,8,8,10,11
22121,4,4,5,6,7,9,11,13,16,19,22,27,32,39
23005,12,16,22,30,41,57,78,106,145,199,273,373,510,699
