countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
25009,18.0,10.0,18.0,21.0,20.0,13.0,16.0,16.0,19.0,9.0,13.0,28.0,5.0,10.0
25017,24.0,27.0,17.0,15.0,23.0,19.0,19.0,15.0,19.0,21.0,13.0,12.0,16.0,13.0
25027,24.0,20.0,15.0,19.0,14.0,9.0,14.0,23.0,11.0,9.0,3.0,10.0,15.0,13.0
9003,12.0,12.0,22.0,6.0,32.0,14.0,15.0,19.0,-5.0,20.0,23.0,24.0,23.0,24.0
9009,11.0,8.0,23.0,12.0,26.0,16.0,6.0,22.0,-2.0,17.0,19.0,19.0,28.0,12.0
42011,27.0,32.0,3.0,4.0,-3.0,-3.0,1.0,33.0,23.0,32.0,3.0,7.0,-1.0,2.0
42101,37.0,30.0,45.0,6.0,31.0,-22.0,-20.0,25.0,-2.0,47.0,34.0,33.0,14.0,-20.0
34003,7.0,23.0,4.0,6.0,20.0,-1.0,17.0,15.0,12.0,8.0,5.0,5.0,27.0,20.0
34017,13.0,10.0,17.0,3.0,5.0,3.0,6.0,10.0,14.0,10.0,19.0,8.0,6.0,2.0
34023,27.0,11.0,3.0,2.0,25.0,15.0,8.0,11.0,6.0,15.0,2.0,17.0,22.0,20.0
26163,27.0,4.0,22.0,14.0,-11.0,20.0,15.0,-2.0,22.0,-8.0,11.0,-0.0,10.0,1.0
27053,18.0,11.0,12.0,19.0,37.0,37.0,25.0,33.0,20.0,18.0,21.0,29.0,30.0,26.0
36103,17.0,15.0,10.0,11.0,11.0,13.0,10.0,3.0,1.0,14.0,6.0,8.0,12.0,24.0
12086,24.0,-10.0,3.0,26.0,2.0,20.0,-8.0,2.0,23.0,-10.0,18.0,8.0,-11.0,-3.0
6037,38.0,62.0,55.0,51.0,49.0,44.0,52.0,0.0,38.0,50.0,66.0,41.0,20.0,27.0
24031,12.0,10.0,-1.0,11.0,9.0,11.0,21.0,8.0,11.0,10.0,7.0,9.0,7.0,9.0
