countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
25017,112.0,61.0,88.0,222.0,53.0,53.0,88.0,53.0,61.0,44.0,43.0,44.0,61.0,56.0
25021,43.0,29.0,108.0,46.0,112.0,1013.0,112.0,88.0,104.0,41.0,39.0,61.0,53.0,40.0
25025,70.0,146.0,94.0,118.0,87.0,61.0,49.0,49.0,268.0,268.0,268.0,49.0,268.0,70.0
17031,41.0,146.0,114.0,146.0,110.0,1042.0,91.0,118.0,289.0,108.0,108.0,268.0,49.0,268.0
9001,76.0,72.0,88.0,124.0,64.0,64.0,69.0,64.0,64.0,51.0,47.0,51.0,72.0,76.0
9003,47.0,39.0,90.0,56.0,124.0,460.0,97.0,124.0,116.0,58.0,49.0,72.0,72.0,58.0
9009,125.0,76.0,100.0,238.0,76.0,76.0,89.0,55.0,69.0,67.0,47.0,55.0,69.0,87.0
42017,47.0,67.0,91.0,69.0,125.0,1055.0,117.0,97.0,296.0,67.0,52.0,69.0,52.0,100.0
42091,67.0,153.0,88.0,116.0,121.0,67.0,54.0,54.0,114.0,276.0,276.0,54.0,276.0,76.0
42101,47.0,73.0,93.0,153.0,116.0,1056.0,88.0,116.0,116.0,114.0,114.0,276.0,51.0,276.0
34017,99.0,80.0,99.0,140.0,80.0,80.0,99.0,80.0,13.0,68.0,52.0,60.0,19.0,85.0
34023,52.0,80.0,101.0,53.0,130.0,1192.0,99.0,99.0,461.0,9.0,9.0,13.0,80.0,26.0
34025,88.0,74.0,111.0,133.0,74.0,74.0,77.0,74.0,16.0,63.0,55.0,63.0,16.0,77.0
34031,55.0,74.0,104.0,66.0,143.0,1197.0,143.0,111.0,464.0,12.0,12.0,16.0,74.0,14.0
34039,93.0,169.0,120.0,138.0,143.0,93.0,78.0,77.0,318.0,318.0,318.0,68.0,318.0,93.0
26125,67.0,89.0,143.0,169.0,138.0,1198.0,138.0,116.0,341.0,318.0,318.0,318.0,78.0,318.0
26163,96.0,92.0,120.0,279.0,68.0,68.0,88.0,62.0,25.0,80.0,64.0,68.0,120.0,113.0
27053,64.0,54.0,146.0,76.0,142.0,1202.0,110.0,151.0,345.0,20.0,20.0,25.0,76.0,120.0
36059,123.0,86.0,123.0,185.0,86.0,86.0,126.0,86.0,86.0,84.0,74.0,75.0,86.0,100.0
36061,74.0,86.0,118.0,86.0,123.0,698.0,123.0,123.0,154.0,86.0,86.0,86.0,86.0,86.0
36103,102.0,178.0,125.0,280.0,152.0,149.0,78.0,78.0,31.0,78.0,70.0,78.0,37.0,92.0
36119,70.0,178.0,121.0,178.0,157.0,1205.0,157.0,129.0,477.0,26.0,26.0,31.0,74.0,26.0
6037,105.0,100.0,119.0,190.0,91.0,91.0,77.0,91.0,34.0,77.0,73.0,77.0,45.0,117.0
6065,73.0,91.0,155.0,91.0,160.0,1206.0,119.0,119.0,352.0,30.0,30.0,34.0,100.0,45.0
6073,106.0,182.0,120.0,152.0,96.0,106.0,96.0,98.0,98.0,82.0,74.0,82.0,103.0,106.0
24005,74.0,103.0,106.0,103.0,161.0,1208.0,161.0,120.0,130.0,96.0,96.0,96.0,96.0,96.0
24031,108.0,194.0,131.0,386.0,102.0,108.0,97.0,100.0,37.0,100.0,82.0,83.0,37.0,124.0
24033,82.0,194.0,124.0,194.0,162.0,1208.0,162.0,131.0,122.0,32.0,32.0,37.0,97.0,35.0
