countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
25017,77.0,53.0,77.0,218.0,53.0,53.0,77.0,61.0,4.0,102.0,102.0,41.0,17.0,79.0
25021,43.0,29.0,81.0,61.0,112.0,1013.0,77.0,112.0,278.0,-0.0,-0.0,4.0,61.0,29.0
25025,91.0,66.0,91.0,110.0,46.0,46.0,94.0,40.0,8.0,268.0,268.0,49.0,23.0,85.0
17031,48.0,33.0,80.0,51.0,118.0,553.0,91.0,118.0,110.0,4.0,4.0,8.0,53.0,47.0
9001,90.0,64.0,97.0,151.0,64.0,64.0,54.0,72.0,13.0,275.0,275.0,51.0,26.0,90.0
9003,47.0,64.0,92.0,48.0,124.0,563.0,124.0,97.0,116.0,9.0,9.0,13.0,72.0,39.0
9009,76.0,72.0,89.0,238.0,64.0,64.0,62.0,72.0,13.0,276.0,115.0,55.0,27.0,76.0
42017,47.0,39.0,87.0,48.0,117.0,1055.0,125.0,89.0,296.0,9.0,9.0,13.0,72.0,39.0
42091,125.0,117.0,97.0,324.0,121.0,117.0,100.0,54.0,13.0,51.0,47.0,54.0,24.0,117.0
42101,47.0,54.0,121.0,54.0,125.0,1056.0,125.0,100.0,116.0,9.0,9.0,13.0,54.0,11.0
34017,85.0,85.0,99.0,365.0,85.0,85.0,60.0,60.0,13.0,310.0,310.0,60.0,108.0,96.0
34023,52.0,60.0,96.0,60.0,130.0,635.0,99.0,140.0,140.0,9.0,9.0,13.0,60.0,108.0
34025,104.0,174.0,102.0,173.0,106.0,135.0,63.0,63.0,16.0,313.0,313.0,63.0,22.0,135.0
34031,55.0,174.0,106.0,174.0,143.0,1197.0,143.0,102.0,337.0,12.0,12.0,16.0,63.0,14.0
34039,107.0,79.0,107.0,276.0,79.0,79.0,120.0,88.0,88.0,318.0,136.0,65.0,88.0,109.0
26125,60.0,51.0,143.0,61.0,138.0,1198.0,107.0,116.0,148.0,73.0,59.0,88.0,88.0,73.0
26163,110.0,92.0,123.0,142.0,82.0,82.0,110.0,92.0,25.0,80.0,64.0,72.0,43.0,96.0
27053,64.0,58.0,113.0,74.0,151.0,696.0,123.0,123.0,345.0,20.0,20.0,25.0,82.0,54.0
36059,114.0,86.0,114.0,154.0,70.0,72.0,114.0,66.0,69.0,324.0,324.0,72.0,66.0,111.0
36061,67.0,58.0,150.0,77.0,154.0,1203.0,114.0,154.0,348.0,72.0,66.0,66.0,70.0,70.0
36103,116.0,97.0,116.0,381.0,74.0,74.0,116.0,68.0,68.0,78.0,70.0,78.0,68.0,149.0
36119,70.0,60.0,114.0,71.0,147.0,1205.0,116.0,116.0,350.0,82.0,68.0,68.0,82.0,82.0
6037,150.0,100.0,128.0,150.0,91.0,91.0,119.0,100.0,34.0,329.0,329.0,81.0,52.0,117.0
6065,73.0,63.0,124.0,100.0,150.0,702.0,160.0,128.0,160.0,30.0,30.0,34.0,100.0,80.0
6073,130.0,106.0,130.0,284.0,96.0,106.0,120.0,96.0,96.0,82.0,81.0,82.0,96.0,106.0
24005,74.0,90.0,123.0,96.0,130.0,539.0,130.0,130.0,152.0,96.0,90.0,90.0,90.0,120.0
24031,134.0,108.0,134.0,153.0,158.0,97.0,122.0,83.0,37.0,332.0,332.0,83.0,32.0,119.0
24033,75.0,97.0,158.0,100.0,153.0,1208.0,134.0,134.0,153.0,32.0,32.0,37.0,83.0,35.0
