countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
33011,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0
33015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
25001,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0
25005,5.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0
25013,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
25021,5.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0
25023,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0
25025,6.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,6.0,7.0
17043,5.0,6.0,8.0,6.0,6.0,4.0,5.0,4.0,8.0,7.0,7.0,7.0,6.0,5.0
17089,4.0,5.0,7.0,8.0,7.0,5.0,4.0,4.0,8.0,8.0,7.0,8.0,7.0,5.0
17091,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
17097,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0
17119,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
17161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
17163,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0
9001,7.0,5.0,6.0,7.0,9.0,9.0,10.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0
17197,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0
9005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
9007,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
17201,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0
9011,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0
42003,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
42017,3.0,3.0,5.0,5.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0
42029,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
1073,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0
42043,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
42045,3.0,4.0,5.0,4.0,5.0,8.0,3.0,3.0,5.0,3.0,4.0,6.0,5.0,3.0
42055,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
1097,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
1101,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
42069,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
42071,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
42075,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0
42077,9.0,11.0,5.0,4.0,3.0,3.0,4.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0
42079,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
42081,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
42089,4.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0
42091,5.0,5.0,7.0,9.0,8.0,7.0,6.0,3.0,4.0,6.0,5.0,6.0,5.0,4.0
42095,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
42107,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34001,3.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
34005,3.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
34007,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
34009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
