countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
25009,20.0,24.0,21.0,28.0,31.0,34.0,32.0,24.0,24.0,23.0,21.0,26.0,27.0,29.0
25017,32.0,33.0,36.0,37.0,43.0,47.0,38.0,32.0,27.0,26.0,30.0,33.0,37.0,33.0
25021,13.0,12.0,12.0,15.0,17.0,19.0,21.0,18.0,15.0,15.0,14.0,18.0,21.0,24.0
25023,8.0,9.0,9.0,14.0,17.0,19.0,23.0,20.0,15.0,16.0,14.0,20.0,22.0,27.0
25025,16.0,20.0,22.0,24.0,26.0,25.0,23.0,22.0,21.0,22.0,22.0,25.0,25.0,23.0
25027,16.0,21.0,22.0,25.0,26.0,29.0,28.0,22.0,19.0,23.0,20.0,24.0,27.0,26.0
9001,18.0,15.0,21.0,22.0,18.0,17.0,16.0,21.0,21.0,23.0,29.0,24.0,22.0,25.0
9003,20.0,22.0,21.0,18.0,18.0,15.0,17.0,22.0,23.0,24.0,24.0,20.0,18.0,18.0
9009,15.0,15.0,18.0,21.0,24.0,27.0,22.0,20.0,17.0,20.0,19.0,25.0,25.0,28.0
42017,12.0,11.0,11.0,10.0,9.0,10.0,15.0,19.0,18.0,17.0,19.0,16.0,17.0,20.0
42045,22.0,18.0,22.0,10.0,9.0,2.0,11.0,15.0,27.0,25.0,30.0,5.0,17.0,9.0
42091,23.0,19.0,18.0,8.0,5.0,-0.0,8.0,17.0,26.0,22.0,27.0,6.0,8.0,8.0
42101,27.0,29.0,30.0,37.0,25.0,21.0,11.0,25.0,29.0,36.0,40.0,38.0,15.0,25.0
34003,21.0,19.0,18.0,12.0,13.0,10.0,12.0,16.0,23.0,19.0,22.0,14.0,16.0,12.0
34013,18.0,19.0,22.0,18.0,16.0,15.0,12.0,16.0,22.0,22.0,23.0,20.0,20.0,14.0
34017,18.0,17.0,19.0,16.0,17.0,20.0,16.0,18.0,21.0,22.0,21.0,22.0,21.0,20.0
34021,11.0,11.0,11.0,10.0,11.0,11.0,16.0,17.0,19.0,19.0,18.0,15.0,17.0,19.0
34023,22.0,21.0,27.0,17.0,18.0,31.0,21.0,18.0,22.0,22.0,17.0,21.0,28.0,18.0
34029,13.0,10.0,14.0,14.0,14.0,20.0,20.0,17.0,15.0,17.0,17.0,18.0,24.0,25.0
34031,17.0,16.0,15.0,14.0,17.0,17.0,17.0,19.0,20.0,18.0,18.0,18.0,18.0,20.0
34039,19.0,18.0,19.0,15.0,14.0,15.0,15.0,17.0,22.0,21.0,17.0,17.0,18.0,15.0
26125,6.0,9.0,9.0,17.0,25.0,17.0,15.0,10.0,10.0,10.0,16.0,24.0,26.0,22.0
26163,18.0,26.0,26.0,27.0,37.0,27.0,20.0,13.0,19.0,19.0,23.0,30.0,33.0,17.0
27053,16.0,16.0,19.0,21.0,21.0,23.0,24.0,23.0,20.0,24.0,25.0,24.0,27.0,28.0
11001,9.0,9.0,13.0,17.0,18.0,24.0,21.0,20.0,18.0,22.0,22.0,27.0,28.0,31.0
44007,8.0,7.0,-5.0,19.0,22.0,25.0,59.0,40.0,29.0,20.0,13.0,46.0,54.0,66.0
36029,14.0,23.0,15.0,12.0,10.0,14.0,13.0,20.0,23.0,21.0,13.0,24.0,11.0,12.0
36059,27.0,32.0,25.0,23.0,25.0,29.0,21.0,26.0,26.0,24.0,21.0,30.0,18.0,20.0
36119,16.0,21.0,21.0,17.0,18.0,20.0,17.0,25.0,26.0,25.0,24.0,27.0,21.0,20.0
12086,16.0,16.0,17.0,15.0,16.0,11.0,14.0,22.0,22.0,23.0,26.0,22.0,20.0,20.0
4013,10.0,13.0,15.0,23.0,17.0,15.0,18.0,10.0,17.0,28.0,22.0,22.0,24.0,24.0
29189,10.0,9.0,13.0,17.0,15.0,13.0,13.0,13.0,12.0,17.0,18.0,20.0,20.0,22.0
6037,57.0,59.0,65.0,60.0,55.0,50.0,48.0,49.0,50.0,55.0,54.0,34.0,34.0,30.0
24031,13.0,13.0,14.0,16.0,21.0,25.0,24.0,24.0,23.0,23.0,26.0,25.0,29.0,30.0
24033,13.0,14.0,18.0,20.0,22.0,23.0,22.0,28.0,28.0,29.0,34.0,31.0,29.0,32.0
