countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
25009,6.0,7.0,8.0,9.0,8.0,7.0,5.0,5.0,6.0,7.0,8.0,7.0,6.0,5.0
25017,9.0,10.0,12.0,14.0,12.0,10.0,8.0,8.0,9.0,11.0,12.0,10.0,9.0,7.0
25027,8.0,9.0,11.0,12.0,10.0,9.0,7.0,7.0,8.0,10.0,11.0,9.0,8.0,6.0
9003,8.0,6.0,10.0,12.0,10.0,8.0,7.0,7.0,8.0,9.0,10.0,9.0,8.0,6.0
9009,6.0,7.0,8.0,9.0,8.0,7.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,5.0
42011,6.0,7.0,9.0,10.0,4.0,7.0,6.0,6.0,7.0,8.0,9.0,7.0,6.0,5.0
42101,14.0,17.0,20.0,22.0,19.0,16.0,7.0,13.0,15.0,18.0,20.0,17.0,8.0,8.0
34003,5.0,6.0,7.0,8.0,7.0,6.0,5.0,4.0,5.0,6.0,7.0,6.0,5.0,4.0
34017,6.0,7.0,8.0,9.0,8.0,7.0,4.0,5.0,6.0,7.0,8.0,7.0,6.0,3.0
34023,5.0,6.0,7.0,8.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,4.0
26163,11.0,13.0,14.0,16.0,14.0,12.0,10.0,7.0,11.0,7.0,14.0,10.0,11.0,9.0
27053,5.0,6.0,7.0,8.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,4.0
36103,6.0,7.0,8.0,9.0,8.0,7.0,5.0,5.0,6.0,7.0,8.0,7.0,6.0,5.0
12086,5.0,6.0,3.0,8.0,7.0,6.0,5.0,4.0,5.0,6.0,7.0,6.0,5.0,4.0
6037,20.0,24.0,27.0,31.0,27.0,23.0,18.0,18.0,21.0,25.0,28.0,24.0,20.0,16.0
24031,6.0,7.0,8.0,9.0,8.0,7.0,5.0,5.0,6.0,7.0,8.0,7.0,6.0,5.0
