countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
24033,13.0,17.0,13.0,15.0,30.0,20.0,148.0,14.0,51.0,18.0,13.0,11.0,5.0,12.0
34029,13.0,12.0,21.0,17.0,20.0,15.0,12.0,39.0,11.0,25.0,20.0,29.0,25.0,50.0
34031,81.0,54.0,96.0,67.0,182.0,64.0,51.0,33.0,35.0,29.0,137.0,65.0,132.0,84.0
36059,454.0,515.0,5.0,8.0,14.0,18.0,14.0,16.0,32.0,21.0,159.0,15.0,55.0,19.0
34003,14.0,12.0,18.0,13.0,17.0,13.0,32.0,18.0,21.0,16.0,13.0,42.0,12.0,27.0
25027,21.0,31.0,27.0,54.0,77.0,51.0,118.0,60.0,174.0,73.0,40.0,40.0,42.0,28.0
36061,147.0,46.0,120.0,69.0,440.0,500.0,21.0,18.0,15.0,19.0,15.0,17.0,34.0,23.0
9009,169.0,16.0,58.0,21.0,15.0,13.0,19.0,14.0,18.0,14.0,34.0,19.0,23.0,17.0
6037,14.0,45.0,13.0,29.0,23.0,33.0,29.0,57.0,91.0,61.0,93.0,78.0,175.0,55.0
4013,56.0,29.0,57.0,30.0,135.0,65.0,122.0,91.0,444.0,529.0,22.0,22.0,16.0,21.0
42101,16.0,18.0,36.0,24.0,180.0,17.0,62.0,22.0,16.0,13.0,21.0,15.0,19.0,15.0
42029,36.0,21.0,24.0,18.0,15.0,47.0,13.0,30.0,24.0,35.0,30.0,61.0,89.0,62.0
1123,104.0,80.0,180.0,67.0,57.0,41.0,43.0,29.0,162.0,83.0,135.0,69.0,438.0,521.0
34027,28.0,28.0,17.0,22.0,17.0,19.0,39.0,26.0,190.0,18.0,66.0,23.0,17.0,14.0
29189,18.0,15.0,21.0,15.0,39.0,22.0,26.0,19.0,15.0,50.0,14.0,32.0,26.0,37.0
25021,32.0,64.0,107.0,90.0,114.0,93.0,178.0,71.0,43.0,42.0,34.0,26.0,144.0,75.0
42095,111.0,102.0,420.0,488.0,15.0,30.0,18.0,23.0,18.0,20.0,41.0,27.0,201.0,19.0
27053,69.0,24.0,18.0,15.0,23.0,16.0,22.0,16.0,41.0,23.0,27.0,20.0,16.0,53.0
42011,15.0,34.0,27.0,39.0,34.0,68.0,115.0,81.0,116.0,109.0,222.0,76.0,56.0,42.0
26125,47.0,35.0,133.0,87.0,121.0,90.0,392.0,471.0,28.0,32.0,19.0,24.0,19.0,21.0
18097,43.0,29.0,211.0,20.0,73.0,26.0,19.0,16.0,24.0,17.0,23.0,17.0,43.0,24.0
26163,29.0,21.0,17.0,56.0,16.0,36.0,29.0,41.0,36.0,71.0,116.0,90.0,121.0,127.0
12011,201.0,85.0,73.0,51.0,67.0,48.0,117.0,100.0,139.0,74.0,365.0,464.0,43.0,51.0
9001,20.0,26.0,20.0,22.0,45.0,30.0,222.0,21.0,76.0,27.0,20.0,16.0,26.0,18.0
36119,24.0,18.0,45.0,26.0,30.0,22.0,18.0,58.0,16.0,38.0,30.0,44.0,38.0,75.0
34039,142.0,122.0,128.0,104.0,203.0,76.0,65.0,75.0,64.0,62.0,127.0,93.0,82.0,89.0
9003,369.0,451.0,54.0,65.0,20.0,27.0,20.0,24.0,47.0,31.0,233.0,22.0,80.0,25.0
42045,20.0,17.0,27.0,19.0,25.0,19.0,47.0,27.0,31.0,24.0,19.0,61.0,17.0,39.0
25009,31.0,46.0,39.0,79.0,96.0,120.0,106.0,117.0,214.0,97.0,76.0,54.0,70.0,68.0
24031,119.0,113.0,168.0,96.0,351.0,398.0,56.0,45.0,21.0,28.0,21.0,25.0,49.0,33.0
34023,243.0,23.0,84.0,30.0,21.0,18.0,28.0,20.0,26.0,20.0,49.0,28.0,33.0,25.0
25025,20.0,64.0,18.0,41.0,33.0,48.0,41.0,82.0,124.0,101.0,147.0,102.0,171.0,81.0
25017,69.0,77.0,84.0,69.0,93.0,102.0,86.0,83.0,298.0,375.0,76.0,74.0,22.0,29.0
34017,22.0,26.0,51.0,34.0,254.0,24.0,87.0,31.0,22.0,19.0,29.0,21.0,27.0,21.0
42017,51.0,29.0,34.0,26.0,21.0,67.0,19.0,43.0,34.0,50.0,43.0,86.0,118.0,115.0
34021,160.0,96.0,176.0,115.0,58.0,94.0,67.0,77.0,105.0,85.0,71.0,86.0,264.0,398.0
26099,83.0,75.0,23.0,30.0,23.0,27.0,49.0,36.0,264.0,25.0,91.0,32.0,23.0,20.0
34025,30.0,21.0,29.0,21.0,54.0,30.0,36.0,27.0,21.0,70.0,20.0,45.0,36.0,52.0
42091,45.0,89.0,151.0,141.0,109.0,110.0,179.0,80.0,118.0,87.0,122.0,87.0,104.0,131.0
12086,56.0,117.0,297.0,368.0,112.0,99.0,24.0,32.0,24.0,28.0,56.0,37.0,275.0,26.0
34013,95.0,33.0,24.0,20.0,32.0,22.0,30.0,22.0,56.0,32.0,37.0,28.0,22.0,72.0
36029,20.0,46.0,37.0,54.0,46.0,93.0,99.0,116.0,116.0,88.0,143.0,92.0,102.0,93.0
36103,76.0,80.0,189.0,134.0,70.0,79.0,263.0,375.0,110.0,93.0,25.0,33.0,25.0,29.0
17031,58.0,39.0,285.0,27.0,98.0,35.0,25.0,21.0,33.0,23.0,31.0,23.0,58.0,33.0
17163,39.0,29.0,23.0,75.0,21.0,48.0,39.0,56.0,48.0,96.0,145.0,100.0,128.0,112.0
6073,139.0,97.0,102.0,100.0,102.0,92.0,120.0,110.0,54.0,143.0,334.0,328.0,119.0,108.0
