,countyFIPS,death_list,label
0,1001,[1 1 1 1 1 1 1],0
1,1017,[1 1 3 4 4 4 5 5 5 7 8 8 8 8 8 8 8],1
2,1033,[1 1 1 1 1],0
3,1037,[1],0
4,1055,[1 2 2 2 3 4 4 5 5 6 6 6],2
5,1071,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2],0
6,1073,[4 5 5 6 6 8 8 8 8 10],3
7,1077,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4
8,1081,[2 2 2 2 2 2 2 2 4 4 5 6 6 6 8],5
9,1087,[1 1 1 1 1 1 1 1],0
10,1089,[1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 3 3 3],6
11,1091,[1 1 1 1 1 1 1],0
12,1093,[1 1 1 1 1 2 2 2 2 2 2 3],7
13,1095,[1 1 1 1 1 1 1 1],0
14,1097,[1 1 2 3 4 5 5 5 6 7 7 9 9 9 9 12],8
15,1101,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0
16,1111,[1 1 1 1 1 1 1 2 2 2 3],9
17,1117,[2 2 2 3 4 5 5 5 5 5 5 5 5 5 5],10
18,1123,[1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4],11
19,1129,[1 1 1 1 1 1 1 1 1 1 1 1 1 1],0
20,2020,[1 1 2 2 2 2 2 2 2 3 3 3 4 4 4 4 4 4 4],7
21,2090,[1 1 1 1 1 1 1 2 2 2 2],6
22,2122,[1 1 1 1 1 1 1 1 1 1 1],0
23,2170,[1],0
24,2195,[1 1 1 1 1 1 1 1 1 1],0
25,4001,[3 3 3 3 3 3 4 4],12
26,4005,[1 1 2 2 2 2 2 4 4 8 10 10 10 10 10 15 15 15 15 21 21 22],13
27,4012,[1 1 1],0
28,4013,[1 2 2 3 3 4 4 4 4 5 8 11 12 17 28 31 31 36 37 39 41 47 48 52 54],14
29,4015,[2 2 2],5
30,4017,[1 1 1 1 1 1 1 6 6 6 6 6 7 7 7 8 9],15
31,4019,[1 1 2 2 4 6 6 8 8 11 11 12 14 14 15 16 20 26 29 29 29 32],16
32,4021,[2 2 3 3 3 4 5],10
33,4025,[1 1 1],0
34,5023,[2 2 2 2 2 3 3 3 3 4 4 4 4 4 4 4 4 4 4],17
35,5029,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],4
36,5035,[1 1 1 2 2 2 2 2 2],7
37,5043,[1 1 1 1 1],0
38,5045,[1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 2],18
39,5057,[1 1 1 1 1 1],0
40,5069,[1 1 1 1 2 2 3 3 5],19
41,5075,[1 1 1 1 1 1 1 1 1 1 1],0
42,5077,[1],0
43,5107,[1 1 1],0
44,5119,[1 2 2 3 3 4 5 5 5 5 5 7 7 8 8 9 9 9 10],20
45,5125,[1 1 1 1 1 1 1 1 1 1],0
46,5141,[1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2],21
47,6001,[1 2 2 4 4 6 7 7 7 8 9 12 12 12 13 15 16 17 20 21 23 23 23],22
48,6013,[1 1 1 1 1 1 1 2 3 3 3 3 3 3 5 5 6 7 7 7 8 9 11 11 11 12],9
49,6019,[1 1 1 2 3 3 3 5 5 5 5 5],19
50,6025,[1 1 1 2 3 3 3 3 3 3 3 3 3],9
51,6029,[1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3],6
52,6031,[1 1],0
53,6037,"[1 1 1 1 1 1 1 1 2 2 4 5 7 11 13 21 26 32 37 44 54 65 78 89 117 132 147
 169 198 223 241 265 296 320 360]",23
54,6039,[1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2],21
55,6041,[1 1 1 4 5 5 6 6 7 7 9 10 10 10 10 10 10 10 10],24
56,6047,[1 1 1 3 3 3 3 3 3 3],25
57,6051,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0
58,6053,[1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3],6
59,6055,[1 1 2 2 2 2 2 2 2 2 2 2 2 2],11
60,6057,[1 1 1 1 1 1 1 1 1 1 1 1],0
61,6059,[1 1 1 3 4 4 4 7 10 13 13 14 14 14 15 17 17 17 18 19 19 19],26
62,6061,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 4 4
 4 4 4 5 5]",4
63,6065,"[2 3 3 3 4 5 6 6 6 8 8 8 8 8 9 13 13 14 15 18 19 25 28 32 33 39 41 41 50
 50]",27
64,6067,"[1 1 1 1 1 1 2 2 2 3 3 3 3 4 4 5 5 6 6 6 7 7 9 9 10 10 16 18 21 22 22 24
 26 26 27 28]",28
65,6069,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2],0
66,6071,[1 2 3 3 3 3 3 6 6 8 13 13 13 16 17 20 24 25 25 31 31 31],29
67,6073,[2 2 3 5 7 7 7 9 15 16 17 18 19 19 31 36 40 44 45 45 47 53],30
68,6075,[1 2 3 4 5 6 6 7 7 7 8 8 9 9 10 10 13 13 14 15 15],31
