FIPS,total_pop,60plus,countyFIPS,County Name,State,stateFIPS,death_4/6/2020,beta,sigma,gamma,mu_I,xi,sigma_D,theta_E,theta_I,psi_E,psi_I,initF
1001.0,55036.0,10523.0,1001.0,Autauga County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1003.0,203360.0,53519.0,1003.0,Baldwin County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1005.0,26201.0,6150.0,1005.0,Barbour County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1007.0,22580.0,4773.0,1007.0,Bibb County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1009.0,57667.0,13600.0,1009.0,Blount County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1011.0,10478.0,2371.0,1011.0,Bullock County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1013.0,20126.0,5151.0,1013.0,Butler County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1015.0,115527.0,27115.0,1015.0,Calhoun County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1017.0,33895.0,8501.0,1017.0,Chambers County,AL,1.0,5.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,5.0
1019.0,25855.0,7513.0,1019.0,Cherokee County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1021.0,43805.0,9429.0,1021.0,Chilton County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1023.0,13188.0,3759.0,1023.0,Choctaw County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1025.0,24625.0,6134.0,1025.0,Clarke County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1027.0,13407.0,3480.0,1027.0,Clay County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1029.0,14939.0,3691.0,1029.0,Cleburne County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1031.0,51073.0,11027.0,1031.0,Coffee County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1033.0,54435.0,14062.0,1033.0,Colbert County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1035.0,12649.0,3542.0,1035.0,Conecuh County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1037.0,10955.0,3145.0,1037.0,Coosa County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1039.0,37519.0,10290.0,1039.0,Covington County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1041.0,13866.0,3371.0,1041.0,Crenshaw County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1043.0,81703.0,19667.0,1043.0,Cullman County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1045.0,49393.0,10498.0,1045.0,Dale County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1047.0,40755.0,9436.0,1047.0,Dallas County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1049.0,71194.0,15782.0,1049.0,DeKalb County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1051.0,80989.0,15929.0,1051.0,Elmore County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1053.0,37621.0,8677.0,1053.0,Escambia County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1055.0,103132.0,25122.0,1055.0,Etowah County,AL,1.0,2.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,2.0
1057.0,16657.0,4604.0,1057.0,Fayette County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1059.0,31507.0,7054.0,1059.0,Franklin County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1061.0,26572.0,6716.0,1061.0,Geneva County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1063.0,8533.0,2352.0,1063.0,Greene County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
1065.0,14995.0,3945.0,1065.0,Hale County,AL,1.0,0.0,0.147,0.1923076923076923,0.08071025020177562,0.001,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
