countyFIPS,cluster
1001,1
1003,1
1005,1
1007,1
1009,1
1011,1
1013,1
1015,1
1017,0
1019,1
1021,1
1023,1
1025,1
1027,1
1029,1
1031,1
1033,1
1035,1
1037,1
1039,1
1041,1
1043,1
1045,1
1047,1
1049,1
1051,1
1053,1
1055,1
1057,1
1059,1
1061,1
1063,1
1065,1
1067,1
1069,1
1071,0
1073,1
1075,1
1077,0
1079,1
1081,0
1083,1
1085,1
1087,1
1089,0
1091,1
1093,1
1095,1
1097,0
1099,1
1101,0
1103,1
1105,1
1107,1
1109,1
1111,1
1113,1
1115,1
1117,0
1119,1
1121,1
1123,0
1125,1
1127,1
1129,0
1131,1
1133,1
2013,1
2016,1
2020,0
2050,1
2060,1
2068,1
2070,1
2090,1
2100,1
2105,1
2110,1
2122,1
2130,1
2150,1
2158,1
2164,1
2170,1
2180,1
2185,1
2188,1
2195,1
2198,1
2220,1
2230,1
2240,1
2261,1
2270,1
2275,1
2282,1
2290,1
4001,1
4003,1
4005,0
4007,1
4009,1
4011,1
4012,1
4013,0
4015,1
4017,0
4019,0
4021,1
4023,1
4025,1
4027,1
5001,1
5003,1
5005,1
5007,1
5009,1
5011,1
5013,1
5015,1
5017,1
5019,1
5021,1
5023,0
5025,1
5027,1
5029,0
5031,1
5033,1
5035,1
5037,1
5039,1
5041,1
5043,1
5045,0
5047,1
5049,1
5051,1
5053,1
5055,1
5057,1
5059,1
5061,1
5063,1
5065,1
5067,1
5069,1
5071,1
5073,1
5075,1
5077,1
5079,1
5081,1
5083,1
5085,1
5087,1
5089,1
5091,1
5093,1
5095,1
5097,1
5099,1
5101,1
5103,1
5105,1
5107,1
5109,1
5111,1
5113,1
5115,1
5117,1
5119,0
5121,1
5123,1
5125,1
5127,1
5129,1
5131,1
5133,1
5135,1
5137,1
5139,1
5141,0
5143,1
5145,1
5147,1
5149,1
6000,1
6001,0
6003,1
6005,1
6007,1
6009,1
6011,1
6013,0
6015,1
6017,1
6019,1
6021,1
6023,1
6025,0
6027,1
6029,0
6031,1
6033,1
6035,1
6037,0
6039,0
6041,0
6043,1
6045,1
6047,1
6049,1
6051,0
6053,0
6055,0
6057,1
6059,0
6061,0
6063,1
6065,0
6067,0
6069,0
6071,0
6073,0
6075,0
6077,0
6079,1
6081,0
6083,1
6085,0
6087,0
6089,0
6091,1
6093,1
6095,0
6097,0
6099,1
6101,0
6103,1
6105,1
6107,0
6109,1
6111,0
6113,0
6115,1
8001,0
8003,1
8005,0
8007,1
8009,1
8011,1
8013,0
8014,0
8015,0
8017,1
8019,1
8021,1
8023,1
8025,0
8027,1
8029,1
8031,0
8033,1
8035,1
8037,0
8039,1
8041,0
8043,1
8045,0
8047,1
8049,1
8051,0
8053,1
8055,1
8057,1
8059,0
8061,1
8063,1
8065,1
8067,1
8069,0
8071,1
8073,1
8075,1
8077,1
8079,1
8081,1
8083,0
8085,1
8087,1
8089,1
8091,1
8093,1
8095,1
8097,0
8099,1
8101,0
8103,1
8105,1
8107,1
8109,1
8111,1
8113,1
8115,1
8117,1
8119,0
8121,1
8123,0
8125,1
9001,0
9003,0
9005,0
9007,0
9009,0
9011,1
9013,0
9015,1
10001,0
10003,0
10005,0
11001,0
12001,1
12003,1
12005,1
12007,1
12009,1
12011,0
12013,1
12015,1
12017,0
12019,0
12021,0
12023,1
12027,0
12029,1
12031,0
12033,1
12035,0
12037,1
12039,1
12041,1
12043,0
12045,1
12047,1
12049,1
12051,1
12053,1
12055,0
12057,0
12059,1
12061,1
12063,1
12065,1
12067,1
12069,0
12071,0
12073,1
12075,1
12077,1
12079,1
12081,0
12083,1
12085,1
12086,0
12087,1
12089,1
12091,0
12093,1
12095,0
12097,0
12099,0
12101,0
12103,0
12105,0
12107,1
12109,0
12111,0
12113,0
12115,0
12117,1
12119,1
12121,1
12123,1
12125,1
12127,0
12129,1
12131,1
12133,1
13001,1
13003,1
13005,1
13007,0
13009,0
13011,1
13013,0
13015,0
13017,1
13019,1
13021,0
13023,1
13025,1
13027,1
13029,0
13031,1
13033,1
13035,1
13037,0
13039,1
13043,1
13045,0
13047,1
13049,1
13051,0
13053,1
13055,1
13057,0
13059,0
13061,1
13063,0
13065,1
13067,0
13069,1
13071,0
13073,1
13075,1
13077,0
13079,1
13081,1
13083,1
13085,1
13087,1
13089,0
13091,1
13093,1
13095,0
13097,0
13099,0
13101,1
13103,1
13105,1
13107,1
13109,1
13111,1
13113,0
13115,0
13117,0
13119,1
13121,0
13123,1
13125,1
13127,1
13129,0
13131,1
13133,1
13135,0
13137,1
13139,1
13141,1
13143,1
13145,1
13147,1
13149,0
13151,0
13153,0
13155,1
13157,1
13159,1
13161,1
13163,1
13165,1
13167,1
13169,1
13171,1
13173,1
13175,1
13177,0
13179,1
13181,1
13183,1
13185,0
13187,1
13189,0
13191,1
13193,1
13195,0
13197,1
13199,1
13201,1
13205,0
13207,1
13209,1
13211,1
13213,1
13215,1
13217,1
13219,1
13221,0
13223,1
13225,0
13227,0
13229,1
13231,1
13233,1
13235,1
13237,1
13239,1
13241,1
13243,1
13245,0
13247,0
13249,1
13251,1
13253,1
13255,0
13257,1
13259,1
13261,0
13263,1
13265,1
13267,1
13269,1
13271,1
13273,0
13275,1
13277,1
13279,0
13281,1
13283,1
13285,0
13287,1
13289,1
13291,1
13293,1
13295,1
13297,1
13299,0
13301,1
13303,1
13305,1
13307,1
13309,1
13311,1
13313,0
13315,1
13317,1
13319,1
13321,0
15001,1
15003,0
15005,1
15007,1
15009,1
16001,0
16003,1
16005,1
16007,1
16009,1
16011,1
16013,0
16015,1
16017,1
16019,1
16021,1
16023,1
16025,1
16027,0
16029,1
16031,0
16033,1
16035,1
16037,1
16039,1
16041,1
16043,1
16045,1
16047,1
16049,1
16051,1
16053,1
16055,1
16057,1
16059,1
16061,1
16063,1
16065,1
16067,1
