countyFIPS,cluster
1017,0
1071,0
1077,0
1081,0
1089,0
1097,2
1101,0
1117,0
1123,0
1129,0
2020,0
4005,2
4013,0
4017,0
4019,2
5023,0
5029,0
5045,1
5119,2
5141,0
6001,2
6013,0
6025,2
6029,0
6037,2
6039,0
6041,0
6051,0
6053,0
6055,0
6059,2
6061,0
6065,0
6067,0
6069,0
6071,2
6073,0
6075,0
6077,2
6081,0
6085,2
6087,0
6089,0
6095,2
6097,0
6101,0
6107,0
6111,2
6113,0
8001,0
8005,2
8013,0
8014,0
8015,2
8025,0
8031,2
8035,2
8037,0
8041,2
8045,0
8051,0
8059,2
8069,0
8083,2
8097,0
8101,0
8119,0
8123,2
9001,2
9003,2
9005,2
9007,2
9009,0
9011,0
9013,2
10001,0
10003,0
10005,0
11001,0
12011,2
12017,0
12019,2
12021,2
12027,0
12031,2
12035,2
12043,0
12055,0
12057,2
12069,2
12071,0
12081,0
12086,2
12091,0
12095,2
12097,2
12099,2
12101,1
12103,0
12105,2
12109,0
12111,2
12113,0
12115,2
12119,2
12127,0
13007,0
13009,0
13013,0
13015,0
13021,0
13029,0
13037,0
13045,0
13051,2
13057,0
13059,0
13063,2
13067,2
13071,2
13077,0
13089,2
13095,0
13097,2
13099,0
13113,0
13115,0
13117,0
13121,0
13129,0
13135,2
13149,0
13151,0
13153,0
13177,0
13185,0
13189,2
13195,0
13205,0
13221,2
13225,0
13227,0
13245,2
13247,0
13255,0
13261,0
13273,0
13279,2
13285,0
13299,0
13313,0
13321,0
15003,0
16001,0
16013,0
16027,0
16031,0
16069,0
17015,0
17021,2
17031,0
17043,0
17089,0
17093,0
17097,0
17099,0
17111,2
17113,0
17137,0
17163,0
17167,0
17195,2
17197,0
17201,0
18003,0
18019,2
18029,0
18031,2
18035,0
18039,2
18041,0
18045,2
18047,2
18057,0
18059,0
18063,0
18067,2
18069,2
18073,0
18081,0
18089,0
18091,2
18093,0
18095,2
18097,2
18109,0
18133,0
18137,0
18141,0
18143,0
18157,0
18167,0
18171,0
19005,0
19061,0
19113,2
19139,0
19153,0
19157,0
19183,0
20031,2
20037,0
20091,2
20173,0
20177,0
20209,2
21005,0
21017,0
21019,2
21029,0
21037,0
21059,0
21067,2
21081,2
21107,0
21111,2
21117,2
21199,2
22001,0
22003,2
22005,2
22009,0
22013,0
22015,2
22017,2
22019,0
22025,0
22027,2
22031,0
22033,0
22045,0
22047,2
22051,2
22055,0
22057,0
22071,2
22073,0
22075,0
22079,0
22087,2
22089,0
22093,0
22095,0
22097,0
22099,0
22103,2
22105,0
22109,0
22113,0
22117,0
22119,2
22121,0
23005,0
23011,0
23031,0
24003,0
24005,2
24009,0
24013,0
24015,2
24017,0
24021,0
24027,0
24031,2
24033,2
24045,0
24510,0
25001,0
25003,2
25005,0
25009,0
25011,0
25013,2
25015,2
25017,2
25021,2
25023,0
25025,2
25027,2
26021,0
26027,0
26037,2
26045,2
26047,0
26049,2
26053,0
26055,2
26059,0
26065,0
26073,0
26075,0
26077,0
26079,0
26081,0
26093,0
26099,2
26107,0
26113,0
26121,0
26125,2
26151,0
26157,0
26159,2
26161,0
26163,2
27037,0
27053,0
27091,0
27109,2
27123,0
27169,0
28005,1
28011,0
28017,2
28033,0
28045,0
28047,0
28051,0
28053,0
28061,0
28071,0
28081,0
28083,0
28093,2
28095,2
28097,0
28107,0
28111,0
28121,0
28133,0
28139,0
28143,0
28155,0
28157,0
28163,2
29019,0
29029,0
29037,0
29077,0
29083,0
29095,0
29107,0
29183,2
29189,0
29510,0
30057,0
30101,0
31019,0
31055,0
